VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2019-06-01 00:06:15,2019-06-01 00:15:52,1,1.70,1,N,163,234,1,8.5,3,0.5,1.23,0,0.3,13.53,2.5
1,2019-06-01 00:16:59,2019-06-01 00:20:58,1,.60,1,N,164,137,1,4.5,3,0.5,2,0,0.3,10.3,2.5
1,2019-06-01 00:21:47,2019-06-01 00:26:16,2,.50,1,N,170,107,2,5,3,0.5,0,0,0.3,8.8,2.5
1,2019-06-01 00:30:15,2019-06-01 00:36:30,2,1.40,1,N,137,229,4,6.5,3,0.5,0,0,0.3,10.3,2.5
1,2019-06-01 00:26:52,2019-06-01 00:40:08,1,2.00,1,N,211,13,1,10.5,3,0.5,2.85,0,0.3,17.15,2.5
1,2019-06-01 00:48:24,2019-06-01 01:09:12,1,6.50,1,N,125,166,1,21,3,0.5,4.95,0,0.3,29.75,2.5
1,2019-06-01 00:16:51,2019-06-01 00:30:36,2,2.90,1,N,186,239,1,12.5,3,0.5,3.25,0,0.3,19.55,2.5
2,2019-06-01 00:02:47,2019-06-01 00:09:57,1,1.11,1,N,161,141,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5
2,2019-06-01 00:33:39,2019-06-01 01:13:12,1,6.77,1,N,141,82,2,25,0.5,0.5,0,0,0.3,28.8,2.5
2,2019-06-01 00:08:03,2019-06-01 00:10:50,1,.61,1,N,79,137,1,4,0.5,0.5,0,0,0.3,7.8,2.5
2,2019-06-01 00:13:23,2019-06-01 00:23:55,2,1.99,1,N,137,141,1,9.5,0.5,0.5,2.66,0,0.3,15.96,2.5
2,2019-06-01 00:41:04,2019-06-01 00:56:12,4,2.88,1,N,230,158,1,13,0.5,0.5,0,0,0.3,16.8,2.5
2,2019-06-01 00:58:21,2019-06-01 01:14:33,1,3.59,1,N,158,229,1,13.5,0.5,0.5,1.73,0,0.3,19.03,2.5
1,2019-06-01 00:49:06,2019-06-01 01:11:25,0,4.50,1,N,164,13,2,18,3,0.5,0,0,0.3,21.8,2.5
1,2019-06-01 00:16:00,2019-06-01 00:22:34,1,1.50,1,N,230,43,1,7,3,0.5,1.2,0,0.3,12,2.5
1,2019-06-01 00:32:28,2019-06-01 00:42:12,2,2.00,1,Y,142,246,1,9,3,0.5,2.56,0,0.3,15.36,2.5
1,2019-06-01 00:47:21,2019-06-01 00:58:33,1,2.00,1,N,48,137,1,9.5,3,0.5,2.65,0,0.3,15.95,2.5
1,2019-06-01 00:10:56,2019-06-01 00:33:40,1,4.00,1,N,144,237,1,17,3,0.5,4.16,0,0.3,24.96,2.5
1,2019-06-01 00:53:40,2019-06-01 01:00:05,2,1.00,1,N,170,48,1,6.5,3,0.5,2.05,0,0.3,12.35,2.5
